id,news_url,title,tweet_ids
politifact15156,politics2020.info/index.php/2018/03/13/court-orders-obama-to-pay-400-million-in-restitution/,Court Orders Obama To Pay $400 Million In Restitution,972666281441878016	972678396575559680	972827819993595904	972828014269448192	972828016647663616	972828571831062528	972830170057854976	972831037842653184	972831077818621952	972833967383523329	972834713974042625	972837311770578944	972844382029336577	972844629241479168	972860485438644225	972860567982493697	972861220918239233	972864974577119232	972868748729290753	972873567602987008	972875679602696192	972878711526748162	972882760208658434	972891918542794752	972900916113346561	972903196007043079	972906841352081408	972909985880457216	972911275415162880	972917075617501184	972917563368902657	972921511416918017	972934447346499584	972944379991138304	972948418652815360	972948897013420035	972953781108228096	972954145895297024	972960153170468864	972961107664097281	972964621349867520	972965859403747329	972968781914845184	972973529208705024	972974817044549633	972976846987055104	972978245124612096	972982020480512001	972982714134646784	972988389577449472	972995356907651072	972995729844301824	972997038945292290	973002144394678272	973002416592490497	973002934190592001	973006938005999618	973010869574619137	973013373955821569	973014581537853440	973014622952304641	973015627903336448	973016085401280512	973018531833946112	973021886673166336	973029904920055808	973034380498120704	973041504884350976	973052197192851456	973059393431404544	973061204498292737	973089403152338944	973132971678097408	973159690983981056	973176458964283392	973177798482321408	973189167457980418	973202052397584386	973205058820231170	973214011989753856	973249390503702528	973249408677576704	973259482896781312	973263735497416704	973264596151754752	973276248184164360	973277800995217408	973358038353526785	973751205410234368	973751599582535681	973958317243445249	973987404603256832	974183505264500736	974227353189613568	974708387136069632	975148149906997250	975540720772595712	977320599214219265	979016358368301057	979141520069660672	985814081423773697	1030453621320605699
politifact14355,https://howafrica.com/oscar-pistorius-attempts-commit-suicide/,Oscar Pistorius Attempts To Commit Suicide,886941526458347521	887011300278194176	887023043121434625	887071646376448000	887096424105627648	887316457977253896	887365700683255813	887401274399961090	887593873555542016	887754918584561664	887793804769501184	887798752546869250	887829850123366400	887846701972701184	887980059008487424	887983460152782848	888041580657082368	888137991599869954	888168766441488385	888175337472970753	888338029856907264	889450634419875840
politifact14795,https://web.archive.org/web/20171027105356/http://www.religionmind.com:80/2017/10/saudi-arabia-behead-6-school-girls-for.html,Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian,923126512458616832	923135295070990341	923189780476780544	923240820429467649	923280801088892930	923332129123119104	923380992349495296	923400663165366272	923409412361818112	923417965336260608	923449342777839616	923472672947949568	923500659709792256	923515461274349568	923528956669779970	923529622498828288	923530707946926081	923571269114777601	923583881793617920	923583987204857856	923591579511808000	923614584648368130	923662802597838848	923682686018846722	923716771621699584	923738095983431681	923764568165441537	923786002736603136	923786555524775938	923828050093015040	923879066536742912	923904432819097600	923916950622887937	923921914824921088	923934763739738112	923939323774492672	923943178348228613	923947586704330757	923961150848544775	923963128534122496	923972365373067264	923974280253263872	923974362801233920	923979101634838528	923983285189038086	923988603524362240	923992243068981248	924004879328309248	924015208934363137	924016551950503936	924025285519044609	924039801224826880	924068163825913858	924073852141015040	924108630521024513	924118284626219008	924133133972398080	924142347662880769	924145175835820033	924173612491460608	924174343889981440	924178079198609408	924180371243261953	924188419907112960	924206255899660288	924216731463180288	924218320735399936	924222678579458048	924225951306846209	924246985535905792	924273322946453504	924287379455774720	924287820658892800	924292595362226176	924296886978338816	924298399385612289	924307240294715394	924308297225732097	924309552547409922	924317786767204353	924317924059439105	924321042226495488	924325329040265217	924344602336821248	924346474103787520	924346473864712193	924356117290979330	924360272902524928	924367409691201538	924378569731489792	924381942405124096	924395966450372608	924418308622790656	924429421951504385	924439340016574464	924449823041966080	924450285359022080	924467242309505024	924469678587641857	924476667212341248	924496762160713729	924502906098745345	924514756433711104	924519320507551744	924520047741145088	924531596060909574	924555128866267136	924563370791133184	924619593838084096	924624893408436224	924625269142548480	924631027183706112	924641021388042240	924643555146006528	924648392843841538	924649986297434112	924651957956071424	924662475810676736	924666748560904193	924698196944842752	924712494203056128	924718048979947520	924742933412270080	924755567834517506	924756146216247296	924756367012958209	924759152248967173	924760207011532800	924768461385097216	924783447209541632	924797193499938817	924833205915500544	924834182714368000	924859641783205888	924863693287981057	924889382141620224	924923071210950656	924930223669370880	924945120847454208	924948959176429570	924950270077030400	924951566339248129	924953847491162114	924965986557497344	924975771902468097	925034221885952001	925061395384745985	925077765040242688	925085065503215617	925115333018570752	925185566831972352	925202719014469632	925222559846731776	925230126484164608	925260506457182209	925265207588524033	925282703401943040	925307081493762048	925309116159070208	925336989162881025	925358902094397441	925448841175994368	925452965086932992	925458536397668352	925459592619921409	925491820913717248	925491858494631936	925497702116360192	925516313707077633	925542724886962178	925551319129223168	925690992304541697	925698067336257537	925704527663075329	925724302791626754	925761203648987137	925777598222884865	925807650100592640	925868185773133825	925878213296906240	925939943590985728	926071653540548608	926425104547901442	926458409586638848	926465684896403456	926486767863320579	926523456035880960	926523545043263489	926569314207129600	926589767436914688	926671432863666176	926724814634672129	926753668526891009	926769963209297921	927246659213516800	931367479770836992	931367521202200576	931898358750482432	932406735783968768	934102646822133761	935942229310492675	1032042043676258304
politifact14328,https://web.archive.org/web/20170702174006/http://freedomcrossroads.us:80/malia-obama-fired-from-cushy-internship-at-spanish-embassy,Malia Obama Fired From Cushy Internship At Spanish Embassy,880455776107679747	880457763876462598	880461471016255489	880481721749094400	880494363876380674	880498653986672640	880498653571325952	880501912449171456	880501915456372736	880503671900880896	880505712551395328	880506686368133120	880506691955052544	880506696673538048	880506866161205248	880507317023678464	880507335889768448	880508713450192896	880508786636709888	880508795516071937	880508813903790080	880508822237982720	880508831528349696	880508841087164416	880508850029420544	880508868010418176	880508876742963200	880508884988948480	880508894132527105	880513616251936770	880513733562322944	880515239527161856	880515251443126272	880519280541876224	880521042527100928	880544521435611137	880545209381146625	880548735318491136	880549588515540992	880556739896233989	880560426626535425	880568632811696128	880598023310409728	880613424908075009	880637798885212160	880705340131745792	880722044853379072	880831143414726656	880840453855129600	880842088501448704	880900200109355009	880938214793531392	881124328426942464	881130104306499585	881136029016756224	881146466202419200	881147591412654080	881163829987557376	881171602494324737	881200570739998720	881209539189760002	881224884637937664	881244622470565888	881251943179587589	881261248540680192	881266893272657920	881273560815239168	881274599165509633	881275019342557190	881278376887152642	881279603519746049	881282989031911429	881283229734522880	881285492112728064	881285504586698752	881285691904282624	881288226304086016	881290615073513473	881296347974029313	881302489877762048	881303623715528705	881311078449160192	881322287785533441	881324672779812864	881330668202074112	881336574239289344	881337221453934592	881341234798882817	881345305429647360	881346719283372034	881349192890945536	881362617972908032	881371381262196736	881372760118878208	881374718699479040	881376681260462080	881392357366571008	881392473720868864	881395658808213505	881400767353020416	881409436019036162	881418049374629888	881428415638757376	881448363568369664	881467232911593472	881471514306109440	881487947308126209	881496134174343169	881509510489288704	881520388928401411	881521279735656449	881533985960210433	881541819422605313	881550369171615746	881550369159098368	881550369083580418	881560344967118848	881566246034124802	881576369544601600	881582244682276864	881596831410421761	881600198161686529	881628040719208448	881637946834604033	881660754776207361	881694521880453121	881703035918925824	881720200768479233	881735524414836736	881735524364550145	881735523458482176	881750627465912320	881753644189728768	881783458103787520	881846135375187968	881849801888980993	881866569520996352	881887572670259206	881925550436225024	881936239351541761	882132723439202304	882290193339891712	882343777913929729	882422113562378241	882565697200631809	882939832141455360	882980860659617792	883071639163998208	883283659993866240	883302337120522240	883326882426503174	883419668379258880	883490795550101504	883879346427047936	884600482118979584	884603666220462080	886009827033362432	886661331838959616	886677453158088705	886691618681651200	886937654625021952	887150285570715649	887227523406352385	889922545344008193	889998646833532929	890449359493582849	891713908456570880	892480519170076672	893458316705353729	894478222456475648	894655469238853632	894656109239205889	894658784387362816	894661151996481536	894687689013907457	894693299260280832	895859339457470464	897857030186074112	898535190129246208	898540294144184321	900033430460792832	902182554165436416	903635482034233345	903635762599657474	903636030229811201	903636618455777281	903636784525041665	903637142433345536	903637724351123457	903638782708211712	903640291982401538	903685552381321216	903696138628472835	903806777438990336	903858002301734912	904001950676533248	904070203394445312	904074167166930946	904113239197454336	905316172714852352	910371443904565248	911349745691578368	934057787138682880
politifact14890,me.me/i/actress-sandra-bullock-to-hillary-clinton-if-you-dont-like-19509139,Actress Sandra Bullock to Hillary Clinton if You Don't Like Our President You Can Leave and Never Come Back Again You Are One Jealous Woman Who Ls Nothing to Compare With Trump I Hope He Will Arrest Y,928256554499035136	928423823455784960	929534016323309568	929808688230973440	931210334408531975	932274510207901697	933860430400892928	935405176021749760	947968109935251456	948317508578226176	956024516072886272	957310806957395968	963683823551688706	1019695741009387520	1019696201925619714	1019883580766457856	1019905973882904577	1019923280168448001	1019934030886768641	1019935141651656706	1019941756924723206	1019942376633262080	1019947618951204868	1019952478798991362	1019958373393969153	1019967260709085184	1019989341874114561	1020007281910575110	1020037615582662656	1020057309886730241	1020089539501744135	1020101016308658176	1020103815708717061	1020280988159565825	1020364855285465088	1020491893875118080	1020495811011018752	1020522238951424000	1020631859494080512	1020874488857202688	1021429994780856320	1024063823433687041	1024286758975012864	1025730640300265472	1028378566940139520	1028651121395617792	1032273641839513601	1050963625077174272
politifact14356,http://therightists.com/gretchen-carlson-the-2nd-amendment-was-written-before-guns-were-invented/,Gretchen Carlson: “The 2nd Amendment Was Written Before Guns Were Invented”,743276158989508608	743493608490205184	743511458441469952	743797467322458112	743802284908249091	743803194296328192	743876205296893952	743882486212550657	743889641200324610	743940125852336129	743946402925948930	743953033302802432	744000395622522881	744261303464693760	744312336719056896	744541729555021824	744652653641109504	744653383680692228	744683702609973250	744707925424234498	744733429498011649	744778073984274432	744817928466378752	744961689318195200	744964198254395393	744975925540851712	745331994029002752	745779913450459139	745818295425601537	745842266300882944	746269933122785280	754448630388551680	879785868713533440	879792297239392256	879842994924466176	879892641302945793	879912511696515073	879931660237758469	879955084779638784	879999831015661568	880009116676218880	880019038042300417	880046427237470208	880047359077498880	880098568006242304	880137902780334080	880170111943852033	880179532707266561	880186700017872896	880197849895620609	880204596613754880	880291377283772418	880346698371014656	880421636335448064	880485792652468224	880517540954333184	880544120531496960	880569641801789441	880590974518386688	880598817233674241	880630600889245696	880730096704860161	880840173126332416	881068021485248514	881208852238131200	881514425831870464	881598436797296641	881625394637676545	881641407546523648	881709855987425280	881752640362692609	881828349525581826	881880245728497664	881883645006532608	881918595290279936	881930404407717889	881945034098040836	881969054474526720	882023976389816320	882085268479541248	882218730201153536	882218853668966400	882230578627694593	882482071930896384	883105223803326469	883182671085445120	883212216287326210	885680279041519617	888456611550732288	889566964057858051	889567723692449792	905917729466658816	906302884559679488	906378971104890883	919007215905800192	919007510446690304	919423599991316480	964587939253641216	964595769369088000
politifact14776,http://yournewswire.com/pope-francis-jesus-metaphorical/,"Pope Francis At Mass: ‘Jesus Is Metaphorical, Not Literal’",931969801983004672	931983837558661120	931994268478013441	931994386505670656	931999894428057602	932013404788633600	932063050215165952	932071339955015680	932072935048826880	932087109703397376	932089247087161344	932101069047566336	932103725644177408	932117865343455232	932147432397393920	932213685078183937	932351685535715329	932356456699097090	932393084599656450	932398906943639552	932426081738678272	932430680046235648	932443919333261313	932451753794195456	932452566042009600	932459501780914176	932494440392024065	932571557960060929	932615795967893504	932631440830984193	932634563033092096	932654792928911362	932655325760688129	932660793648275457	932668890387238912	932679271562317824	932682305495289862	932697338937860096	932715240973897728	932723270041948160	932767885545562112	932806660623515648	932809208323563520	932822990458306560	932837455148941312	932856426351022080	932856465479659524	932860019745230848	932919561200046081	932936587356397568	932966965118996480	932971878926487552	932976639692148736	933004508774391808	933011915676188672	933069933931651074	933109159905693697	933139456617480193	933205723768598528	933236771827081216	933328532889063426	933358187985678336	933438906229342208	933501937638453248	933696144554704897	933915090579050496	934049297779384325	934229952660164609	934238766587371525	934397681572745216	934460513446256641	934487438709358592	935170693829931008	935237521302310914	935382178233401344	935604355465703424	935604893066424320	935605081399070720	935605125065912321	935605275414945793	935605485457178625	935605492730048513	935605505631727616	935605773048172544	935606069644152833	935606257536454661	935607064415653889	935608513732272129	935613290599682048	935620834449903617	935621426907926529	935736615921766402	935796871792017408	937238011778969600	937483729278242821	938107221715636224	938326276129153026	938902323719475201	939708578037891074	940005222809825280	940275439670571008	940660328068771840	940662336444157953	940721629172088832	942246993098952704	944780548198813699	945075656106311681	946358124335845376	946359449358426112	946364610831114240	946365119021436929	946380224815620096	946380465958682625	946382729612005376	946383235961049088	946383740183433217	946384746493464576	946385256604667905	946387641402044416	946388200125288453	946396404154535936	946397326200930306	946399345347317760	946410958464999424	955373874127847424	956777636516175873	961365431054368768	981714630916657152	1002633153083727873
politifact15178,https://www.politico.com/story/2017/05/09/trump-presidents-carter-bush-clinton-238125,Former presidents walk fine line in Trump’s America,861881844949688324	861881844697923585	861881844622475264	861881844417019904	861881844232462340	861882710817595392	861882713942376448	861882716903440384	861882731050917890	861882736188968961	861882735484219392	861882732401393664	861882739519127552	861882739053608960	861882738927730688	861882738571231235	861882738386755588	861882738181263360	861882737434664961	861882736629366784	861883989056929796	861883986741608448	861884249623973888	861885236526759936	861885244231761920	861886036925976576	861886814981947392	861887078149357569	861889677711753216	861889749988126721	861889808918077441	861891044824109056	861893177329975296	861893355529269248	861896121983086592	861896789162700800	861897692670308352	861898353831018496	861898869222903810	861899077075689476	861899208802136064	861900121000353792	861901931559759872	861902672508727296	861903212437282816	861903850151784449	861905851908579328	861907342522298368	861908616739160064	861909205556445184	861909204168081408	861909206818930688	861909993108500480	861910469354807296	861910526422548480	861910620735590403	861911165215035392	861912098917330946	861912097772273665	861913690286764032	861914305620475904	861915930619658240	861916011976683522	861916018184204288	861916280403656704	861916328478646272	861923811880521728	861927406885646336	861927722297294848	861938962616733696	861939082569687040	861939801133592576	861940644108959745	861942518677725184	861947923688509440	861948886708928512	861949177072238593	861950237568413696	861950433069334532	861950717069754370	861950958019981312	861952120425250817	861957438446202881	861958367006396417	861958492638334977	861960935853834240	861965968356126721	861977012071616513	861982523320139776	861983771633102848	861993046010773504	861998006824046598	862000894954676225	862012288039038976	862034095022460929	862034618429706268	862035030973046785	862046248211238913	862061608218087426	862062751643873280	862064834040528897	862067426493476865	862068038765563904	862074627429982209	862074643364106240	862079101984747520	862088148624519169	862088474735915008	862106768771514369	862111988842987522	862114206199500801	862133013307547650	862137837876953088	862170806251597824	862179982511980544	862190449691316224	862197918324994049	862208747166420992	862216354350465024	862264948096892928	862283615610253313	862300780245766144	862358197495107584	862661699048009728	862661766328844288	862869432607006720	862994069533986816	889626765244719105	965813242298646528
politifact15309,http://nrtonline.info/breaking-nancy-pelosi-to-resign-after-new-revelations/,BREAKING: Nancy Pelosi To Resign After New Revelations – NRTOnline,937265170971332609	937444150504513539	937452077256671233	937454484585832448	937454862786289664	937491406196748289	937527203247648768	937746810726178817	937771692717428736	938128676666925056	938130441068056576	938178135690039296	938199866169352192	938202378242846720	938205335151669248	938205880935383041	938207489857744896	938220513549107200	938222795380551682	938232268052721665	938244610236846085	938250223767425024	938264323146829824	938375555791044608	938521193648402432	938544793352916992	938618229890613248	938700499829841921	938815580206968836	938872220570603521	938876497279975424	938893172595396608	938897022467354624	938985071196782594	939220550009933825	939372671074295808	939528633244413954	940363874599096322	940476744464850944	942494799285780481	942601249119227904	942776169945907200	942878704216301568	942957412599975936	943047085506654209	943094036365299712	943109281460736000	943324744295870465	943589261990752256	944957248748556288	944957396023238657	944957417770618880	944957744821436417	944958110891851777	944958114868092928	944958119154663425	944958117590179840	944958151652241409	944958894345990144	944958946158276609	944960885012946946	944961267189583873	944962959331250176	944964754430455808	944964793730867200	944976002458849280	945036602375659523	945482558728314880	951964527939211265	951972721822392320	960702624503808000	970696642146922496	970703078533074944	970801971207856128	970876679899025409	971444937857396739	971445574636457984	971456329079541761	971485704206409729	971523190244732928	971526559059333121	971533573189701632	971583092904226816	972582639776362496	972601991821254656	973517564780347392	973609053422276610	973619167189401600	974729809220853760	974752848138321920	974768077270323201	974857966783467521	975020677249032192	975134116101459968	975159137184223234	975595630004527104	975726661470752768	975726675886403584	975940875741220864	977124786613686272	978144750871240705	978316317492101120	980297768261619712	981229048843075584	983992537911300107	984066002517463040	988409919631249408	990644381899247616	1041897725078450176
politifact15267,https://www.independent.co.uk/arts-entertainment/music/news/donald-trump-inauguration-ceremony-artists-performing-elton-john-legend-celine-dion-a7492991.html,"Donald Trump inauguration: Artists who won't perform at ceremony include Elton John, Celine Dion and John Legend",812333495020195841	812333821945376773	812334325958115328	812370137290575873	812453775583625216	812465229552644096	812468786330640384	812584289355333632	812604223263244288	817214944273776641
