id,news_url,title,tweet_ids
politifact12944,http://www.cq.com/doc/newsmakertranscripts-4942265?3,comments in Fayetteville NC,942953459	8980098198	16253717352	16685132501	18459384142	20408136207	22245152650	76287470559444992	91736060433928192	167013050203914240	202463039910461440	231102720684220416	303188036668243968	327576133837139969	428207972250968064	550078280322543616	552000999834271745	575321511390679040	605495719630225408	608435381407739905	620373874434183168	663552087381274628	709120156266397697	710213578842836992	791657074568622080	791738101638897664	801163013839581185	811984896029822976	865327039947173891	868503315155496960	887032957843771392	956313411511554049	962036861743984641	970682643535802368	979341616975634432	992501849071775745	1009814965111414784	1017498833637576704	1019271700817563649	1026621333902372865	1034574401067515909	1041102754201124864	1042451606065885184	1045731999925915649	1047885310200348674	1050935364481941506	1051547030668156928	1055685980533989376	1064862539220230144	1065281573686259712	1069018829693476864
politifact779,https://web.archive.org/web/20070820164107/http://www.whitehouse.gov/omb/budget/fy2008/outlook.html,"Budget of the United States Government, FY 2008",89804710374154240	91270460595109888	96039619300306944	106486564980400129	239664119966470145	531736791594713089	975594288800194561	1049636292374528001
politifact14064,http://www.politifact.com/truth-o-meter/statements/2016/jan/21/donald-trump/donald-trump-exaggerates-when-he-says-china-has-to/,Donald Trump exaggerates when he says China has 'total control' over North Korea,690248006399049728	690254026663821312	690276950812721152	690282277935452164	690290570099486720	690290573954056192	690299488351551489	690301743796629504	690303164348628993	690306200479469568	690313168543846400	690341420943671296	690343545388015616	690387692086038529	690516103953518593	690613756225835008	690918860099305472	691334666893266945	691726420071071744	695625668508282880	696147797486112769	699419517072633856	699911978245099520	700277772233633792	703901532929060864	725370950166806528	780596690193494016	780600149437317121	857270944787779584	950389451842375680
politifact14474,https://www.law.cornell.edu/constitution/amendmentxxv,25th Amendment,1262604762	10969740933	11182364398	17507543393	21398975131	25263697653	27857034065	27865757220	27865815602	27875332189	27884999578	99641293101207552	99994025402183680	105362532994252800	136513048323174402	136565127754424322	137584145521049600	145369573523341313	250556927132696577	283419282665246720	283419778121621504	286566275491180544	287149236825501696	291923937611362304	313006543450808321	330076591331893248	330077063316918273	337018609752743936	346646032895078401	450644884836208640	462000345867386881	477197805853745152	525427528782336000	556413539770847232	556414801363369984	573903990993330176	605190915062235136	619610455762464768	623550542300614658	638364704595841025	658751745502253056	667258785472188416	672803161061507072	677516287644274688	746002633563971584	746735220741779456	747886285637980161	761739886445551617	807281689764380672	838085493606604800	860843137048215554	876023554357174272	892665273777504258	892964996895920128	898280649018167296	900756491757637634	917285300828643328	918181303333392386	939344990416900097	941414371116191745	957312813822824448	963427895837261825	963739623531819008	964592352428834816	966071855818842112	966072207905452033	966072640375894016	966072731237203968	966072820894638080	966396746262720512	968376581633839104	968734044665073665	969377819435380736	972202118022082560	981225076245835776	992730525013086209	1007647833237774337	1010960167368736768	1011090800082423808	1011409329147260928	1016339203578351616	1016369992072421376	1019750579898339328	1022195292685328384	1037378399919063040	1037678663985242114	1037867848331390976	1040676582019543040	1042400986206232577	1057250429766156288	1057375309073408000	1059140891292692480	1067270850146111488	1070305298823438337	1073308100529135617	1073419550950068224
politifact1519,http://www.cbsnews.com/blogs/2010/02/23/politics/politicalhotsheet/entry6235624.shtml%27,"Harry Reid Says GOP Should ""Stop Crying"" About Reconciliation",9541526983	9541706028	9541711907	9541861030	9541861069	9542486664	9542702727	9542969456	9543164248	9544071432	9544948680	9545247592	9545488880	9545844083	9546831428	9549029015	9550287231	9550972510	9551334502	9551690423	9552676740	9555238816	9555668008	9557384806	9558379784	9558713111	9559139998	9559725800	9559791804	9559946315	9560019684	9560341323	9560572602	9560647265	9560870190	9562322407	9562593719	9564200415	9564200707	9566316931	9569325720	9571620443	9571827545	9575345935	9575353190	9579067360	9579773742	9581542874	9588281877	9590772808	9593206038	9598227430	9600367440	9635473330	9683063663
politifact13068,http://politicaladarchive.org/ad/polad_donaldtrump_k1mkc/,Political TV Ad Archive » PolAd,3316920364	96972843962740736	107435614412083200	240071235386634240	240095405164097536	240096178425978880	240098503995576321	504501071973081088	538380818180505600	565127844565897219	572688161735761920	636886948074889216	1029083260175966208	1032947475848544256	1034051203133579266
politifact9691,http://www.nbcnews.com/politics/first-read/impeachment-talk-becomes-cynical-game-n168436,Impeachment Talk Becomes a Cynical Game,494471648498941952	494473906578030592	494474086567792640	494474175432515585	494474635631935488	494474710864777216	494475371278909441	494475642608418816	494476039628673024	494477145607909376	494477185655132161	494477189081878528	494477187634835456	494477555366232064	494478245006303233	494478456361459712	494478471439990784	494478483888685056	494478627669417985	494478636586508291	494478677976317953	494479016204574722	494479025746624512	494479344186585089	494479942713745410	494480095512248320	494480132904464385	494481069274460160	494481806939660289	494482483107217408	494482493320351744	494482587952222208	494482599612809216	494482875463397377	494482905054187520	494484150364024832	494484567839895552	494484992005640193	494485011597258753	494485028944883712	494485046292520960	494486139320164352	494486422389555200	494486505620905987	494488492018114560	494489163958190080	494490474292326400	494491792398888960	494496288483069954	494497030946160640	494497660292714499	494514485957525504	494516517304688641	494619906772844544	517332614966165504
politifact423,https://web.archive.org/web/20080506120114/http://pol.moveon.org:80/mccain10/email.html?,MoveOn.org Political Action: 10 things to know about McCain,339378269365354496	387990600953659392
politifact13132,http://www.politifact.com/truth-o-meter/statements/2016/mar/15/hillary-clinton/hillary-clinton-says-guns-exceed-next-nine-categor/,Hillary Clinton says guns exceed next nine categories as leading cause of death for young black men,709855468429189122	709863316697391104	709882822559965184	709925869368639488	709958216755576833	710075534705868800	710125625558695936	710157406995681281	710167845292908544	710235719416094721	710323762042949633	710505001622220800	710795622627065856	710796078791200773	710841868423176193	711163603676692484	714898378744725504	715012487775584256	718140785745666052	722928950624722944	722933149198495744	729158479923945472	780584733902123008	780584883303297024	780584960503808000	780586180458844161	780586198913789956	780586514698866688	780595620994125824	780908206876942336
politifact2166,http://abcnews.go.com/ThisWeek/week-transcript-pelosi-gates/story?id=11298444&page=3,'This Week' Transcript: Pelosi and Gates,2764816281	3725782052	8410218442	12470480522	15026996908	17898488240	21025885057	27935202546	2764600609079297	2904707911647232	11083994657460224	16194000557965312	42710737654792192	127386058114609152	127388910203576321	128890806575693824	172825621859270656	200532402483904512	230281576355860481	293437152686137344	376394873307287552	392803409071714305	392803408388050944	435812717333471232	439535659158482944	575839016270041088	627578042399854592	693438614856941568	725716280972591104	900045237468487680	942892460220600320	961257065556692992	974323213038702596	1005025626879819777	1032120852186320896
