node_id,news_article
0,gossipcop-943234
57,gossipcop-905156
111,gossipcop-924455
230,gossipcop-941695
307,gossipcop-914354
329,gossipcop-919225
414,gossipcop-850093
489,gossipcop-862425
604,gossipcop-869138
707,gossipcop-846571
814,gossipcop-941222
1007,gossipcop-862499
1078,gossipcop-864682
1228,gossipcop-881516
1310,gossipcop-938569
1386,gossipcop-885398
1451,gossipcop-931900
1474,gossipcop-937797
1637,gossipcop-938989
1703,gossipcop-870602
1757,gossipcop-895344
1869,gossipcop-888146
1910,gossipcop-894261
1977,gossipcop-843563
2041,gossipcop-921275
2143,gossipcop-890159
2187,gossipcop-870375
2229,gossipcop-902944
2300,gossipcop-871713
2391,gossipcop-951606
2505,gossipcop-870482
2591,gossipcop-893687
2617,gossipcop-897667
2752,gossipcop-884622
2810,gossipcop-947277
2884,gossipcop-882434
2997,gossipcop-915758
3097,gossipcop-844353
3129,gossipcop-951370
3162,gossipcop-955692
3219,gossipcop-847547
3317,gossipcop-867070
3405,gossipcop-863610
3557,gossipcop-877549
3636,gossipcop-878591
3704,gossipcop-904866
3748,gossipcop-953933
3768,gossipcop-871163
3842,gossipcop-954690
3898,gossipcop-892539
3909,gossipcop-854134
3955,gossipcop-911483
4003,gossipcop-952046
4167,gossipcop-948028
4214,gossipcop-881433
4259,gossipcop-881361
4306,gossipcop-848526
4365,gossipcop-953282
4372,gossipcop-924592
4483,gossipcop-843061
4540,gossipcop-866166
4574,gossipcop-939288
4689,gossipcop-930852
4750,gossipcop-927447
4914,gossipcop-868829
5066,gossipcop-948081
5096,gossipcop-852098
5170,gossipcop-864888
5253,gossipcop-903966
5309,gossipcop-899110
5362,gossipcop-862150
5404,gossipcop-890078
5495,gossipcop-922102
5551,gossipcop-847598
5655,gossipcop-938671
5698,gossipcop-858892
5770,gossipcop-877228
5906,gossipcop-920873
6088,gossipcop-861687
6201,gossipcop-890057
6285,gossipcop-909361
6303,gossipcop-941289
6363,gossipcop-892758
6444,gossipcop-851838
6519,gossipcop-919133
6574,gossipcop-921521
6682,gossipcop-943959
6773,gossipcop-877953
